,beer_id,beer_name,abv,ibu,text,ibu_style_mean,bitter,style_name,brewery_name,city,state,country
14,80,Weizengold Hefefein,5.1,10.0,Stiegl Weizengold. It has 12o original gravity; the choicest ingredients and a top fermentation process are responsible for the highest possible quality and an unmistakable flavor. It is brewed according to the classic wheat beer recipe: 60 % wheat malt a,15.0,0,South German-Style Hefeweizen,Stieglbrauerei zu Salzburg GmbH,Salzburg,,Austria
15,103,Robert the Bruce Scottish Ale,7.0,10.0,"A big malty body from chocolate and roasted malts, well balanced with just the right combination of hops. Robust yet smooth, a true malt-lover's delight.",55.0,0,Scotch Ale,Three Floyds Brewing,Munster,Indiana,United States
16,124,Buzzsaw Brown,4.8,10.0,"By 1915, Bend, Oregon, was alive with the sound of the buzz saw, as two of the country's largest pine sawmills set up shop on the banks of the Deschutes River.  The mills are  gone now, but the smokestacks still stand testament to Bend's humble beginnings",30.0,0,American-Style Brown Ale,Deschutes Brewery,Bend,Oregon,United States
17,126,Geist Bock,6.1,10.0,"This is one of our rare lagers brewed in the style of the German Heiliges Geist Bock, or Holy Ghost Bock. The name refers to the lighter nature of the beer as opposed to the darker and heavier Doppel Bock and Mai Bock also brewed during the spring in Germ",22.0,0,Traditional German-Style Bock,Golden Valley Brewery and Pub,McMinnville,Oregon,United States
18,128,Dark Ale,4.5,10.0,"A dark brew full of promise. Coopers Dark Ale is a journey in taste, starting fresh and creamy, and finishing with a lingering coffee flavour. 

Conditioned and naturally brewed using the top fermentation method, Coopers 'Dark' is made using roasted and c",17.0,0,English-Style Pale Mild Ale,Coopers Brewery,Regency Park,South Australia,Australia
19,129,Cinder Cone Red,5.4,10.0,"Cinder Cone Red's diverse selection of hops and barley captivates thirsty palates with its toffee-like flavor, intense citrus aroma and defined bitterness.

Located on the northern slope of Mt. Bachelor, the Cinder Cone was also known as \Red Hill\"" due t",55.0,0,American-Style Amber/Red Ale,Deschutes Brewery,Bend,Oregon,United States
20,138,Odell Red Ale,6.5,10.0,"The Rocky Mountain Goat is no ordinary goat. Just like Odell Red is no ordinary red. 

We took the American-style red to a whole new level by adding a variety of aggressive American hopsí¢äåäógiving this ale a distinctive fresh hop aroma and flavor. 

W",55.0,0,American-Style Amber/Red Ale,Odell Brewing,Fort Collins,Colorado,United States
21,157,Biere de Mars,7.0,10.0,A sustaining beer that is brewed to comfort in the gusty ides of March and welcome in a wealth of warmer weather.,47.5,0,Old Ale,Jolly Pumpkin Artisan Ales,Dexter,Michigan,United States
22,171,Samurai,5.1,10.0,"Looking for something a little different? Brewed with rice and barley malts, Samurai is an easy drinking, unfiltered ale that changes the status quo for unfiltered beers. The addition of rice gives Samurai a slightly fruity, crisp, refreshing and clean ta",,0,Undefined-Ignore,Great Divide Brewing,Denver,Colorado,United States
23,177,Lucií©rnaga,6.5,10.0,"An artisan pale ale brewed in the Grand Cru tradition. Enjoy its golden effervescence and gentle hop aroma. Coriander and Grains of Paradise round out the spicy palate, melting o so softly into a silken finish of hoppiness and bliss! Make any season a cel",35.0,0,Belgian-Style Pale Ale,Jolly Pumpkin Artisan Ales,Dexter,Michigan,United States
24,179,Beer Geek Breakfast,7.5,10.0,"Breakfast is the most important meal of the day, many say, and if you are a beer geek there is no better way to start the day than with a powerful, complex morning stout. The unique mix of oats and coffee gives this beer large body and power, while the co",42.5,0,American-Style Imperial Stout,Mikkeller,KÃ¸benhavn,,Denmark
25,184,Extra Strong Vintage Ale,7.5,10.0,"If fine wine were beer it would no doubt be Coopers Extra Strong Vintage Ale. This strong ale imparts rich full flavours that are suitable for maturation. Brewed with choice malts and an extended top fermentation, Coopers Extra Strong Vintage Ale will imp",,0,Undefined-Ignore,Coopers Brewery,Regency Park,South Australia,Australia
26,188,Certified Organic Amber Ale,4.8,10.0,"Eel River Brewing Company, brewers of California's first Certified Organic Ale, proudly brings you our Organic Amber Ale. Unique in flavor and purity, this medium bodied beer has a hoppy bouquet and a distinctive rich taste with a caramel-like sweetness t",55.0,0,American-Style Amber/Red Ale,Eel River Brewing,Fortuna,California,United States
27,193,Nígne íì Brown Ale,4.5,10.0,"A dark brown English ale, in which classic English malts meet the spicy hoppiness of the new world.  Recommended serving temperature 8íÁC/45íÁF. Goes very well with í¢äåìpub grub.í¢äåä¢",30.0,0,American-Style Brown Ale,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,Grimstad,Lunde,Norway
28,208,90 Shilling,5.3,10.0,"We introduced 90 Shilling, our flagship beer, at our opening party in 1989. For a while, we'd been wondering - what would happen if we lightened up the traditional Scottish ale? The result is an irresistibly smooth and delicious medium-bodied amber ale. T",16.0,0,Scottish-Style Light Ale,Odell Brewing,Fort Collins,Colorado,United States
29,209,Sunshine Wheat,4.8,10.0,"SUNSHINE WHEAT is a great beer for trouncing thirst.  Yet, it has a depth of character that inspires a quiet momentí¢äåä¢s reflection. Sunshine Wheat swirls in the mouth with ripples of coriander and orange peel tartness, settling nicely into a tranquil",17.5,0,Light American Wheat Ale or Lager,New Belgium Brewing,Fort Collins,Colorado,United States
30,214,Lunar Ale,5.1,10.0,"Our first new year-round brand launch since 1996, Lunar Ale is in a category all its own. Brewed using a unique aromatic yeast, this refreshing variety is best described as a cloudy brown ale with a complex, malty aroma and flavor, and a crisp, dry finish",30.0,0,American-Style Brown Ale,Boulevard Brewing Company,Kansas City,Missouri,United States
31,215,Denver Pale Ale / DPA,5.4,10.0,"Historically Great Divideí¢äåä¢s flagship beer, DPAí¢äåä¢s record speaks for itself. By continually garnering national and international recognition, DPA has risen to become one of the most award-winning English-style pale ales in the world.

Sporting",15.0,0,American-Style Pale Ale,Great Divide Brewing,Denver,Colorado,United States
32,221,Pater 6,6.7,10.0,"This name became a reference. This beer is mostly pointed out with its product name: í¢äåña Paterkeí¢äå. 

This í¢äåñPaterkeí¢äå is a chestnut coloured dark beer with a high fermentation (6.7 alcohol content) and a full taste.",37.5,0,Belgian-Style Dubbel,Brouwerij St. Bernardus,Watou,West-Vlaanderen,Belgium
33,223,Skinny Dip,4.2,10.0,"Ever tried a Skinny Dip? You wouldn't be alone. Featured by both Men's Journal and the Today Show as a favorite summer brew, this full-bodied, highly drinkable beer makes a splash every summer in our Seasonal line-up. Cascade hops frolic with a hint of li",35.0,0,Golden or Blonde Ale,New Belgium Brewing,Fort Collins,Colorado,United States
34,226,Mothership Wit,4.8,10.0,"Our first venture into organically-produced beer, Mothership Wit Organic Wheat Beer elevates the zesty Wit or White beers of Belgium. Our far-flung Beer Rangers affectionately refer to our Fort Collins brewery as the Mothership, a name that conjures image",,0,Undefined-Ignore,New Belgium Brewing,Fort Collins,Colorado,United States
35,247,Hot Shot ESB,5.0,10.0,"HotShot ESB is an easy-drinking and remarkably smooth Extra Special Bitter, brewed in the classic-English style. More assertively hopped than ordinary bitters, light copper-colored HotShot showcases clean hop flavors, balanced by its slightly fruity nose ",25.0,0,Extra Special Bitter,Great Divide Brewing,Denver,Colorado,United States
36,249,Nígne íì Imperial Stout,9.0,10.0,"We think the russian tsar would have liked his stout this way. A dark, rich ale in which a generous sweetness with roasted malt bitterness.  Serving temp.10íÁC/50íÁF. Great with vanilla ice cream or dark chocolate.",42.5,0,American-Style Imperial Stout,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,Grimstad,Lunde,Norway
37,250,Nígne íì Porter,7.0,10.0,"In this quite dark ale, dark malts provide flavors of coffee and dried fruit. Recommended serving temperature 10íÁC/50íÁF.  Try with dark chocolate, cheese, or red meat dishes.",36.0,0,Porter,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,Grimstad,Lunde,Norway
38,251,Nígne íì Pale Ale,6.0,10.0,A refreshing light and hoppy ale. Probably our best allrounder.  Recommended serving temperature 8íÁC/45íÁF.  Ideal with barbequed or smoked meat dishes.,15.0,0,American-Style Pale Ale,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,Grimstad,Lunde,Norway
39,288,Yule Tide,14.5,10.0,"The latest addition to Baltimore's own Clipper City Brewing Company - Mutiny Fleet is their holiday brew Yule Tide, a Belgian style triple ale, which like the rest of the Mutiny Fleet is distributed in 22 ounce bombers.",22.5,0,Belgian-Style Tripel,Clipper City Brewing Co.,Baltimore,Maryland,United States
40,290,Warka Strong,7.0,10.0,European Strong Lager,6.5,1,American-Style Lager,Browar Warka,Warka,,Poland
41,335,Levity Amber Ale,5.1,10.0,"Levity is our lighter take on the amber ale. Munich and honey malts give it a full-bodied flavor and a happy-go-lucky personality. Then we let the finishing hops shine, for a beer that's crisp instead of bitter, as many ambers are. Levity was named by our",55.0,0,American-Style Amber/Red Ale,Odell Brewing,Fort Collins,Colorado,United States
42,336,Easy Street Wheat,4.6,10.0,"Light and refreshing, Easy Street Wheat is an unfiltered American-style wheat beer. Leaving in the yeast gives the beer a nice, smooth finish and a slightly citrusy flavor. Easy Street Wheat gets its name by brewers \taking it easy\"" and not filtering the",17.5,0,Light American Wheat Ale or Lager,Odell Brewing,Fort Collins,Colorado,United States
43,337,Boulevard Pale Ale,5.4,10.0,"Boulevard Pale Ale is a smooth, fruity, well-balanced beer with year-round appeal. A variety of caramel malts impart a rich flavor and amber color, while liberal use of whole hops adds zest and aroma. Pale Ale is the first beer we brewed, and continues to",15.0,0,American-Style Pale Ale,Boulevard Brewing Company,Kansas City,Missouri,United States
44,338,Bully! Porter,5.4,10.0,"The intense flavors of dark-roasted malt in Boulevardí¢äåä¢s rendition of the classic English porter are perfectly balanced by a generous and complex hop character. Bully! Porterí¢äåä¢s robust nature makes it the ideal companion to a variety of foods,",36.0,0,Porter,Boulevard Brewing Company,Kansas City,Missouri,United States
45,345,Boulevard Dry Stout,4.9,10.0,"Velvety black and perfectly opaque, our bottled Dry Stout is the somewhat livelier companion to our popular draught version of this enduring style. This surprisingly smooth, drinkable beer is a delightful harmony of smoky roasted flavors and tangy, coffee",65.0,0,American-Style Stout,Boulevard Brewing Company,Kansas City,Missouri,United States
46,350,Arabier,9.0,10.0,"An arabier is a pure malt beer 8íÁvol/alc brewed with flower Nugget-hops from Poperinge. It has the special dry-hopping taste and aroma, so appreciated by beer lovers all over the world. It is one of the two main beers from De Dolle Brouwers throughout ",13.5,0,Belgian-Style Pale Strong Ale,Brouwerij De Dolle Brouwers,Esen,West-Vlaanderen,Belgium
47,358,Pauwel Kwak,8.0,10.0,"LOOK:
Kwak is recognisable by its deep bright amber colour and a dense, creamy coloured head. The pale wood of the glass holder makes a pleasant contrast with the beer.

SMELL:
You will smell a mellow, fruity and malty aroma with a slightly spicy characte",,0,Undefined-Ignore,Brouwerij Bosteels,Buggenhout,Oost-Vlaanderen,Belgium
48,360,Rochefort 10,11.3,10.0,"Reddish-brown colour, with a very compact head and an aroma of figs, feels like honey in the mouth. The alcohol profile is a major component in the flavour of this rich ale. It is very similar to 6 and 8, but has much more of everything. Some may find the",25.0,0,Belgian-Style Quadrupel,Abbaye Notre Dame du St Remy,Rochefort,Namur,Belgium
49,361,McChouffe,8.5,10.0,"Description : Dark Ale, strong, spicy, lightly hoppy, with evoluting taste. Natural Beer, bottle refermented, unfiltered, not pasteurised and without any additives

Alcohol : 8,5% alc./vol.

Original gravity : 16 íÁPlato

Storage : Store the bottles ver",45.0,0,Dark American-Belgo-Style Ale,Brasserie D'Achouffe,Houffalize-Achouffe,Luxembourg,Belgium
50,371,Watou Tripel,7.5,10.0,The flavour of this beer is pleasantly soft and is characterized by a delicate bitterness where the balance between malt and hop is based upon a fruity orange taste with a straight fresh after taste (7.5% alcohol content),22.5,0,Belgian-Style Tripel,Brouwerij St. Bernardus,Watou,West-Vlaanderen,Belgium
51,377,Doppelbock Dunkel,8.5,10.0,"DoppelBock Dunkel has a pleasant full and creamy body, with a cofeeish aroma. Nicely warming with toffeelike malty sweetness, balanced by a hoppy-bitterness in the finish.",25.0,0,German-Style Doppelbock,Schloss Eggenberg,Vorchdorf,,Austria
52,395,Bam BiíÂre,4.5,10.0,"An artisan farmhouse ale that is golden, naturally cloudy, bottle conditioned and dry hopped for a perfectly refreshing balance of spicy malts, hops and yeast.",30.0,0,French & Belgian-Style Saison,Jolly Pumpkin Artisan Ales,Dexter,Michigan,United States
53,397,Barleywine,14.5,10.0,"Our American-style Barleywine undergoes a three hour boil to intensify the caramel malts and the enormous Pacific Northwest hop charge. The result is a rich, estery brew with toffee notes and citrus hop flavors layered throughout. Enjoy this brew fresh to",65.0,0,American-Style Barley Wine Ale,Green Flash Brewing,Vista,California,United States
54,400,Aventinus Weizenstarkbier / Doppel Weizen Bock,8.2,10.0,"Dark-ruby, almost black-colored and streaked with fine top-fermenting yeast, this beer has a compact and persistent head. This is a very intense wheat doppelbock with a complex spicy chocolate-like arome with a hint of banana and raisins. On the palate, y",38.5,0,South German-Style Weizenbock,Private Weissbierbrauerei G. Schneider & Sohn GmbH,Kelheim,,Germany
55,401,New Belgium Trippel Belgian Style Ale,8.5,10.0,"Our Trippel Belgian Style Ale (pronounced triple) opens with a bold blast of hops that slowly gives way to the fruity esters implied by our Belgian yeast strain. The Three Graces hand-painted on the label are Zeusí¢äåä¢s daughters Aglaia (splendor), Eup",22.5,0,Belgian-Style Tripel,New Belgium Brewing,Fort Collins,Colorado,United States
56,403,Abbey Belgian Style Ale,7.0,10.0,"Winner of four World Beer Cup medals and eight medals at the Great American Beer Fest, Abbey Belgian Ale is the Mark Spitz of New Belgiumí¢äåä¢s lineup - but it didní¢äåä¢t start out that way. When Jeff and Kim first sampled the beer at the Lyons Folk",37.5,0,Belgian-Style Dubbel,New Belgium Brewing,Fort Collins,Colorado,United States
57,406,Iron Fist Pale Ale,4.5,10.0,An amber pale ale dry hopped with a blend of American hops.,15.0,0,American-Style Pale Ale,Revolution Brewing LLC,Chicago,Illinois,United States
58,408,Oro de Calabaza,8.0,10.0,Brewed in the Franco-Belgian tradition of strong golden ales.  Spicy and peppery with a gentle hop bouquet and the beguiling influence of wild yeast.,13.5,0,Belgian-Style Pale Strong Ale,Jolly Pumpkin Artisan Ales,Dexter,Michigan,United States
59,409,La Roja,7.2,10.0,"An artisan amber ale brewed in the Flanders tradition.  Deep amber with earthy caramel, spice, and sour fruit notes developed through natural barrel aging.  Unfiltered, unpasteurized and blended from barrels ranging in age from two to ten months.",55.0,0,American-Style Amber/Red Ale,Jolly Pumpkin Artisan Ales,Dexter,Michigan,United States
60,411,Hop Trip Fresh Hop Pale Ale,5.5,10.0,"This Fresh Hop Pale Ale is all about celebrating the hop harvest in the fall.  Fresh picked hops have to be added to the brew immediately and in abundance.  Roughly 270 pounds of Crystal hops from Doug Weathers' farm outside Salem, Oregon will be added to",15.0,0,American-Style Pale Ale,Deschutes Brewery,Bend,Oregon,United States
61,414,Hibernation Ale,8.1,10.0,"Great Divideí¢äåä¢s award-winning Hibernation Ale is Coloradoí¢äåä¢s original strong ale í¢äåäóì it has been our winter seasonal each year since 1995. Since that time, Hibernation has become the most sought-after winter beer in Colorado. Hibernationí",47.5,0,Old Ale,Great Divide Brewing,Denver,Colorado,United States
62,416,2íÁ Below,6.6,10.0,"Pull on your wool socks and crack open a 2íÁ Below Ale. This tasty winter warmer started life as a small batch beer brewed for the Al Johnson Uphill Downhill í¢äåäóì a telemark ski race in Crested Butte, Colorado. The Uphill Downhill celebrates the exp",25.0,0,Extra Special Bitter,New Belgium Brewing,Fort Collins,Colorado,United States
63,419,Hercules Double IPA,9.1,10.0,"Hoppier, maltier and with more alcohol than a standard IPA, Hercules Double IPA definitely is not for the faint of heart. Hercules Double IPA is, however, an elixir fit for the gods. A brash but creamy wonder, Hercules pours a deep orange-coppery color, f",82.5,0,American-Style India Pale Ale,Great Divide Brewing,Denver,Colorado,United States
64,420,Fresh Hop Pale Ale,6.1,10.0,"The September hop harvest is a once-a-year opportunity to brew with fresh hops, also called í¢äåñwet hops.í¢äå Given the perishable nature of just-harvested hop cones, they are shipped overnight to Great Divide shortly after harvest. The morning of t",15.0,0,American-Style Pale Ale,Great Divide Brewing,Denver,Colorado,United States
65,423,Inversion IPA,6.8,10.0,"After several months of experimentation, energy and obsession, Deschutes Breweryí¢äåä¢s brewers have triumphed once again.  Inversion I.P.A.'s trio of American hops delivers an over-the-top nose with hints of orange and grapefruit.  Inversion is then dr",82.5,0,American-Style India Pale Ale,Deschutes Brewery,Bend,Oregon,United States
66,431,Blue Paddle Pilsener,4.8,10.0,"Climb on in and grab a paddle. Our first foray into lagered beers, Blue Paddle Pilsener-Lager, is a Czech style pilsener with a refreshing crispness from noble hops and a rich, malty finish. í¢äåìBlue Paddleí¢äåä¢ refers to the implement our warehouse",20.0,0,German-Style Pilsener,New Belgium Brewing,Fort Collins,Colorado,United States
67,439,La Folie,6.0,10.0,"La Folie Wood-Aged Biere, is our original wood-conditioned beer, resting in French Oak barrels between one and three years before being bottled. . Peter Bouckaert, came to us from Rodenbach í¢äåäóì home of the fabled sour red. Our La Folie emulates the s",,0,Undefined-Ignore,New Belgium Brewing,Fort Collins,Colorado,United States
68,440,Abt 12,14.5,10.0,"The absolute top quality in the hierarchy of the St. Bernardus beers. It is also the beer with the highest alcohol content (10.50 %).
A dark ivory coloured beer with a high fermentation. 

The show piece of the brewery. Thanks to its soft and unconditiona",25.0,0,Belgian-Style Quadrupel,Brouwerij St. Bernardus,Watou,West-Vlaanderen,Belgium
69,475,Prior 8,8.0,10.0,"This noble delicious beer with a high fermentation has a ruby purple colour with a full malty and fruity taste (8% alcohol content). 

This beer has a beautiful round froth due to the second fermentation with a taste that creates a perfect balance between",37.5,0,Belgian-Style Dubbel,Brouwerij St. Bernardus,Watou,West-Vlaanderen,Belgium
70,480,"Kulmbacher Mnchshof Schwarzbier
",4.9,10.0,"Drinking German beer is a pretty great way to get a glimpse into a brewing culture of stylistic rigidity and drinkable simplicity. Kulmbacher Mnchshof Schwarzbier definitely delivers on those fronts. Dark brown pour. The head isnÕt huge, but itÕs creamy ",21.5,0,German-Style Schwarzbier,Kulmbacher Brauerei AG,Kulmbach,Bayern,Germany
71,481,St. Bernardus Tripel,8.0,10.0,"This beer, with high fermentation, has a pale amber colour and a flowery, fruity taste with a harmonious balance between sweet and sour (8% alcohol content). 
This beer has a thick and vivid froth and strikes by its balanced taste with a delicate bitterne",22.5,0,Belgian-Style Tripel,Brouwerij St. Bernardus,Watou,West-Vlaanderen,Belgium
72,485,Rochefort 6,7.5,10.0,"eddish colour, almost like autumn leaves, very consistent texture with a slightly spicy aroma and an intense taste of caramel, fruit, and hints of raisins. It is only brewed about once per year, representing approximately 1% of total beer production, thus",45.0,0,Dark American-Belgo-Style Ale,Abbaye Notre Dame du St Remy,Rochefort,Namur,Belgium
73,487,Westmalle Trappist Tripel,9.5,10.0,Was first brewed in 1934 and the recipe has not changed since 1956. It is made with pale candy sugar and has a very pale color produced from a mash of light pilsener malts. Styrian Goldings hops are used along with some German varieties and the classic Sa,22.5,0,Belgian-Style Tripel,Brouwerij Abdij der Trappisten van Westmalle,Westmalle,Antwerpen,Belgium
74,717,Terminator Stout,6.45,10.0,"Black as the darkest night, rich as the most decadent dessert, Terminator is for the true stout lover. This is a full bodied and flavor packed ale which draws it's robust complexity from kiln-baked specialty grains. Look for a wide array of toasted, choco",65.0,0,American-Style Stout,McMenamins Mill Creek,Mill Creek,Washington,United States
75,721,Industrial IPA,7.4,10.0,"This one's a butt-kicker! Essentially, the same recipe as the IPA, but with approximately 25% more grain and twice the hops!",35.0,0,Imperial or Double India Pale Ale,Diamond Knot Brewery & Alehouse,Mukilteo,Washington,United States
76,722,IPA,6.2,10.0,"OUR FLAGSHIP BEER, the one for which we're known throughout the Puget Sound. Columbus hops impart intense bitterness with flavors of grapefruit and a hint of cedar.",82.5,0,American-Style India Pale Ale,Diamond Knot Brewery & Alehouse,Mukilteo,Washington,United States
77,764,Organic India Pale Ale,6.7,10.0,Fish Tale Organic India Pale Ale is a medium-bodied beer with a rich golden color. The organic pale and crystal malts lay down a firm malt body. This provides the backbone for an assertive hop profile featuring organic Pacific Gem. The moment the Mighty F,82.5,0,American-Style India Pale Ale,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington,United States
78,766,Organic Amber Ale,5.0,10.0,"Medium-bodied with an appealing amber hue, this is the First Ale of the Republic. Its organic pale, Munich, and crystal malts create a gentle sweet character that is difficult to resist.  From organic Hallertauer hops come a zesty flavor and aroma that be",55.0,0,American-Style Amber/Red Ale,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington,United States
79,813,Horn Dog,14.5,10.0,"By far the biggest dog in the yard... Horn Dog Barley Wine is a dark and malty English-style Barely Wine that is aged for a minimum of three months before being packaged. Like a fine wine, this beer will only get better with age when stored at optimum con",65.0,0,American-Style Barley Wine Ale,Flying Dog Brewery,Denver,Colorado,United States
80,819,Urbock 23íÁ,9.6,10.0,Schloss Eggenberg Urbock 23íÁ is one of the strongest beers in the world. We keep the Urbock 23íÁ in our Schloss cellars for 9 months until it is dark gold and strongly matured. Urbock 23íÁ has received the highest acknowledgments and honours at int,25.0,0,German-Style Doppelbock,Schloss Eggenberg,Vorchdorf,,Austria
81,821,Stone IPA,6.9,10.0,"An \India Pale Ale\"" by definition is highly hopped and high in alcohol (ours is 6.9% alc./vol.).

Medium Bodied Refreshing Ale
Light-medium malt character with a heavy dose of over the top hops! Two full weeks of \""dry hopping\"" give this beer its abunda",82.5,0,American-Style India Pale Ale,Stone Brewing Co.,Escondido,California,United States
82,832,Old Rasputin Russian Imperial Stout,9.0,10.0,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia's Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It's a rich, intense brew with big complex flavors and a warming finish.",42.5,0,American-Style Imperial Stout,North Coast Brewing Company,Fort Bragg,California,United States
83,833,Yeti Imperial Stout,9.5,10.0,"Traditionally, Imperial Stouts, the biggest and boldest of all stouts, were brewed with massive amounts of roasted malts and hops, resulting in a velvety smooth but robust beer characterized by high alcohol content and extremely high hop bitterness. Meeti",42.5,0,American-Style Imperial Stout,Great Divide Brewing,Denver,Colorado,United States
84,853,Rochefort 8,9.2,10.0,"Yellowish-brown colour, with a more pronounced aroma, more fruits and a slight amount of Demi-Sec. This variety constitutes the largest proportion of production.",,0,Undefined-Ignore,Abbaye Notre Dame du St Remy,Rochefort,Namur,Belgium
85,876,Terrible,14.5,10.0,"Topped by a sumptuous head of foam, La Terrible possesses a fruity aroma enriched with notes of roasted malt and Madeira. Its long lasting flavour is both elegant and full bodied.

La Terrible is a dark brown beer on lees and is part of a collection of ex",30.0,0,Other Belgian-Style Ales,Unibroue,Chambly,Quebec,Canada
86,879,5 Barrel Pale Ale,5.3,10.0,"The distinctive hop character of our 5 Barrel Pale Ale is due to the extraction of essential oils from select hops. We treat 5 Barrel Pale Ale to an infusion of fresh whole hop flowers in the Hop Back and the Fermentor, as well as four hop additions durin",49.0,0,Classic English-Style Pale Ale,Odell Brewing,Fort Collins,Colorado,United States
87,883,Blonde,6.0,10.0,This authentic Abbey Ale is based on the recipe perfected centuries ago by the monks of Abbey Du Val-Dieu.,30.0,0,Other Belgian-Style Ales,Brasserie de l'Abbaye Val-Dieu,Aubel,Lige,Belgium
88,903,Moylander Double IPA,8.5,10.0,"í¢äåñIf One is Good, Then Two is Better!í¢äå Our Moylander Double IPA is fat and resiny, with aggresive and excessive hops swinging on on an enormous malt backbone like naughty monkeys on a vine. Double malt, double hops - do the math, ití¢äåä¢s ac",35.0,0,Imperial or Double India Pale Ale,Moylan's Brewery & Restaurant,Novato,California,United States
